,Unnamed: 0,Unnamed: 0.1,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Label
0,0,0,39.25,0.43,22.75,0.43,33.75,1.3,1
1,1,1,39.25,0.43,23.0,0.0,33.0,0.0,1
2,2,2,39.25,0.43,23.25,0.43,33.0,0.0,1
3,3,3,39.5,0.5,23.0,0.71,33.0,0.0,1
4,4,4,39.5,0.5,24.0,0.0,33.0,0.0,1
5,5,5,39.25,0.43,24.0,0.0,33.0,0.0,1
6,6,6,39.25,0.43,24.0,0.0,33.0,0.0,1
7,7,7,39.0,0.0,23.75,0.43,33.0,0.0,1
8,8,8,39.5,0.5,24.0,0.0,33.0,0.0,1
9,9,9,39.5,0.5,23.0,0.0,33.0,0.0,1
10,10,10,39.5,0.5,23.25,0.43,33.0,0.0,1
11,11,11,39.5,0.5,23.5,0.5,32.75,0.43,1
12,12,12,39.5,0.5,23.75,0.43,32.5,0.5,1
13,13,13,39.67,0.47,23.75,0.43,33.0,0.0,1
14,14,14,39.5,0.5,24.0,0.0,33.0,0.0,1
15,15,15,39.5,0.5,23.25,0.43,33.0,0.0,1
16,16,16,39.5,0.5,22.5,0.5,33.0,0.0,1
17,17,17,39.5,0.5,22.0,0.71,33.0,0.0,1
18,18,18,40.25,0.83,21.0,0.0,33.0,0.0,1
19,19,19,40.5,0.5,18.67,1.7,33.0,0.0,1
20,20,20,40.67,0.47,15.5,0.87,33.0,0.0,1
21,21,21,40.5,0.5,15.0,0.0,33.0,0.0,1
22,22,22,40.5,0.5,15.0,0.0,33.0,0.0,1
23,23,23,40.33,0.47,16.0,0.0,33.0,0.0,1
24,24,24,40.5,0.5,16.0,0.71,33.0,0.0,1
25,25,25,40.5,0.5,16.5,0.87,33.0,0.0,1
26,26,26,40.5,0.5,17.5,0.87,33.0,0.0,1
27,27,27,40.5,0.5,19.75,1.09,33.75,1.3,1
28,28,28,40.75,0.83,21.0,0.0,33.0,0.0,1
29,29,29,40.75,0.83,21.0,0.0,33.0,0.0,1
30,30,30,41.0,1.0,20.75,0.43,33.75,1.3,1
31,31,31,41.0,1.0,19.67,0.47,34.0,1.41,1
32,32,32,40.75,0.83,19.25,0.43,33.75,1.3,1
33,33,33,40.67,0.47,19.75,0.43,34.0,1.41,1
34,34,34,41.0,0.82,19.0,0.71,35.0,1.41,1
35,35,35,41.0,0.89,17.75,1.09,34.2,1.47,1
36,36,36,41.5,0.5,18.0,0.0,33.0,0.0,1
37,37,37,41.67,0.47,19.5,0.5,33.75,1.3,1
38,38,38,41.25,0.83,20.25,0.43,34.25,1.3,1
39,39,39,41.0,0.82,20.33,0.47,33.75,1.3,1
40,40,40,41.5,0.5,21.0,0.0,33.75,1.3,1
41,41,41,41.5,0.5,19.25,1.3,33.0,0.0,1
42,42,42,41.5,0.5,17.75,0.83,34.5,1.5,1
43,43,43,41.5,0.5,19.0,0.71,35.25,1.3,1
44,44,44,41.5,0.5,15.5,2.18,33.0,0.0,1
45,45,45,41.75,0.43,15.0,0.0,33.5,0.87,1
46,46,46,41.75,0.43,14.75,0.43,33.0,0.0,1
47,47,47,41.75,0.43,11.75,0.43,33.75,1.3,1
48,48,48,41.75,0.43,13.75,1.09,34.5,1.5,1
49,49,49,41.5,0.5,13.5,1.5,33.75,1.3,1
50,50,50,41.5,0.5,13.33,1.25,33.0,0.0,1
51,51,51,41.5,0.5,16.25,1.3,33.0,0.0,1
52,52,52,41.75,0.43,17.75,0.43,32.5,0.5,1
53,53,53,41.75,0.43,16.0,0.71,33.0,0.0,1
54,54,54,42.0,0.0,15.0,1.0,33.0,0.0,1
55,55,55,42.0,0.0,13.5,1.12,33.0,0.0,1
56,56,56,41.75,0.43,13.0,1.22,33.0,0.0,1
57,57,57,41.75,0.43,13.25,1.09,33.0,0.0,1
